model,term,estimate,std_error,t_value,p_value
main,(Intercept),1.4220013586395825,0.1506165055645438,9.441205353354922,1.1424984284849154e-19
main,p90p10,0.0055967949417927996,0.00195676857970962,2.8602232271244623,0.004399438723104133
main,log_median_sp,-0.09869204658374667,0.012587148306355123,-7.840699432604449,2.4558607520887588e-14
main,factor(zone)B,-0.041537416784544264,0.03106358551546295,-1.3371739319618339,0.18173624711546635
main,factor(zone)C,-0.17798610637775428,0.020118793626127677,-8.846758393436128,1.324178224338013e-17
main,factor(zone)D,-0.2071564055575128,0.017822167892315013,-11.623524523458194,5.417086145974283e-28
main,factor(zone)E,-0.1465882621810753,0.019561736516188817,-7.493622156691581,2.806395915465197e-13
main,factor(zone)F,-0.016685887142995633,0.02462317496425832,-0.6776497006261772,0.4982878671248373
main,factor(zone)G,0.036898678355983504,0.0318728269629161,1.1576845191333345,0.24751131218229977
main,factor(zone)H,0.005626090579791524,0.030098008031099226,0.18692567873522659,0.8517900341199607
main,factor(zone)J,-0.036751229635342185,0.02622323372985272,-1.4014758825683775,0.16165382939652156
main,factor(zone)K,0.017923953715950975,0.03580025492056069,0.5006655331288423,0.6168132063588663
main,factor(zone)L,-0.05881398017523002,0.027334189187084704,-2.1516636097265103,0.03187241780938981
main,factor(zone)M,-0.03759346650750298,0.020208226916998254,-1.8603050461533093,0.06339294241724465
main,factor(zone)N,-0.11028868765840728,0.028221690422607304,-3.907940524004164,1.0507748593970805e-4
main,factor(zone)P,0.02568340814133804,0.03666738529432913,0.7004428577379408,0.4839564127567165
falsification_price_only,(Intercept),1.655660477751876,0.1349047991219402,12.272806368106501,1.127449718429862e-30
falsification_price_only,log_median_sp,-0.11517721752207173,0.012056191769362774,-9.553366413327995,4.521517110465314e-20
falsification_price_only,factor(zone)B,-0.04650148711540817,0.03762634698594084,-1.235875678624437,0.21704815304918482
falsification_price_only,factor(zone)C,-0.19654890966039082,0.020835589865319075,-9.433325906820007,1.2114780375041243e-19
falsification_price_only,factor(zone)D,-0.23148252901265856,0.017663318972527695,-13.105268006125604,3.2093014102006914e-34
falsification_price_only,factor(zone)E,-0.1730571444170466,0.01834069965317767,-9.43568935152717,1.1882950143251477e-19
falsification_price_only,factor(zone)F,-0.02148734678133232,0.02772452837528031,-0.7750302003510663,0.43866486521588355
falsification_price_only,factor(zone)G,0.0993226117367778,0.03144310673327947,3.158804013206954,0.0016738233505994955
falsification_price_only,factor(zone)H,0.04655063202890933,0.02689212598419721,1.731013459339889,0.0840269881803181
falsification_price_only,factor(zone)J,-0.0414737113796775,0.029547501254545482,-1.4036283820547206,0.1610107850275283
falsification_price_only,factor(zone)K,0.010524425319521045,0.038527506304994796,0.27316653292343074,0.7848308159785624
falsification_price_only,factor(zone)L,-0.0801860085619889,0.027837657524480485,-2.880486926440315,0.004130106697754811
falsification_price_only,factor(zone)M,-0.04569431319309122,0.021443806342750567,-2.130886301747401,0.03355469411039696
falsification_price_only,factor(zone)N,-0.12621477871109332,0.029573931201102722,-4.267771431969354,2.336271673222236e-5
falsification_price_only,factor(zone)P,0.054703055464982,0.0362826607812201,1.5076913954804632,0.13222488832756918
